PhotonEnergy_meV,Total_manning_prefactor_0,Total_manning_prefactor_0_5,Total_manning_prefactor_1,Total_manning_prefactor_1_5,Total_manning_prefactor_2,Optical_manning_prefactor_0,Optical_manning_prefactor_0_5,Optical_manning_prefactor_1,Optical_manning_prefactor_1_5,Optical_manning_prefactor_2,Piezoelectric_manning_prefactor_0,Piezoelectric_manning_prefactor_0_5,Piezoelectric_manning_prefactor_1,Piezoelectric_manning_prefactor_1_5,Piezoelectric_manning_prefactor_2
8.37,2.25083706911394e-07,4.44385264710554e-07,8.70661193456323e-07,1.65247255533877e-06,3.54787223895768e-06,1.96886839250256e-07,3.40998588597971e-07,7.15674453718121e-07,1.41701344243657e-06,3.1854701732877e-06,2.81968676611377e-08,1.03386676112583e-07,1.54986739738202e-07,2.35459112902202e-07,3.62402065669984e-07
8.38,2.25240603167678e-07,4.44734811914001e-07,8.71467580471335e-07,1.65448180495488e-06,3.55399211083705e-06,1.97030652817616e-07,3.41297946196453e-07,7.16396431559001e-07,1.41887755904008e-06,3.19133489601709e-06,2.82099503500623e-08,1.03436865717548e-07,1.55071148912334e-07,2.35604245914805e-07,3.62657214819961e-07
8.39,2.25397676142251e-07,4.45084790122512e-07,8.72275178402362e-07,1.65649503043929e-06,3.56012913308209e-06,1.9717462400159e-07,3.41597698129839e-07,7.17119551070804e-07,1.42074551661485e-06,3.19721649781482e-06,2.82230521406609e-08,1.03487091992673e-07,1.55155627331558e-07,2.35749513824437e-07,3.62912635267266e-07
8.4,2.25554894898827e-07,4.45435200064758e-07,8.73083989780233e-07,1.65851224270589e-06,3.566283371887e-06,1.97318753032573e-07,3.41897845090956e-07,7.178438147083e-07,1.42261732590673e-06,3.20311504448785e-06,2.82361418662542e-08,1.03537354973802e-07,1.55240175071933e-07,2.35894916799166e-07,3.63168327399157e-07
8.41,2.25712354167915e-07,4.45786042470976e-07,8.73894017142541e-07,1.66053345270671e-06,3.57245489376932e-06,1.97463040141379e-07,3.42198387774151e-07,7.18569224932915e-07,1.42449299769939e-06,3.20903060216573e-06,2.82493140265359e-08,1.03587654696825e-07,1.55324792209626e-07,2.36040455007325e-07,3.63424291603591e-07
8.42,2.25869919050052e-07,4.46137318072976e-07,8.74705263033656e-07,1.66255867143205e-06,3.57864376557184e-06,1.97607485559244e-07,3.42499326875302e-07,7.19295784212751e-07,1.42637254281454e-06,3.21496323730263e-06,2.82624334908073e-08,1.03637991197674e-07,1.55409478820905e-07,2.36186128617511e-07,3.63680528269219e-07
8.43,2.26027702626721e-07,4.46489027604139e-07,8.75517730004751e-07,1.66458790991067e-06,3.58485005446451e-06,1.9775208951783e-07,3.42800663091814e-07,7.20023495022605e-07,1.42825597211208e-06,3.22091301667912e-06,2.82756131088914e-08,1.03688364512325e-07,1.55494234982146e-07,2.36331937798583e-07,3.63937037785391e-07
8.44,2.26185680871154e-07,4.46841171799425e-07,8.76331420613827e-07,1.66662117920992e-06,3.59107382794636e-06,1.97896852249219e-07,3.43102397122625e-07,7.20752359843995e-07,1.43014329649025e-06,3.2268800074042e-06,2.82888286219352e-08,1.03738774676801e-07,1.55579060769831e-07,2.36477882719666e-07,3.6419382054216e-07
8.45,2.2634374414908e-07,4.47193751395379e-07,8.77146337425727e-07,1.66865849043595e-06,3.59731515384749e-06,1.98041773985919e-07,3.43404529668214e-07,7.21482381165181e-07,1.4320345268858e-06,3.23286427691722e-06,2.83019701631607e-08,1.03789221727165e-07,1.55663956260545e-07,2.36623963550151e-07,3.64450876930279e-07
8.46,2.26502111874052e-07,4.47546767130128e-07,8.77962483012166e-07,1.67069985473383e-06,3.60357410033098e-06,1.98186854960865e-07,3.43707061430601e-07,7.22213561481185e-07,1.43392967427414e-06,3.23886589298978e-06,2.83152569131863e-08,1.03839705699527e-07,1.55748921530981e-07,2.36770180459692e-07,3.64708207341203e-07
8.47,2.26660576814235e-07,4.47900219743394e-07,8.7877985995175e-07,1.67274528328774e-06,3.60985073589487e-06,1.98332095407418e-07,3.44009993113352e-07,7.22945903293814e-07,1.43582874966953e-06,3.24488492372778e-06,2.83284814068172e-08,1.03890226630042e-07,1.55833956657937e-07,2.36916533618212e-07,3.64965812167093e-07
8.48,2.26819318071874e-07,4.48254109976491e-07,8.79598470829999e-07,1.67479478732113e-06,3.61614512937417e-06,1.98477495559366e-07,3.44313325421585e-07,7.23679409111683e-07,1.43773176412523e-06,3.25092143757335e-06,2.83418225125075e-08,1.03940784554906e-07,1.55919061718316e-07,2.37063023195898e-07,3.65223691800817e-07
8.49,2.26978146171961e-07,4.48608438572333e-07,8.80418318239368e-07,1.67684837809688e-06,3.62245734994282e-06,1.98623055650927e-07,3.4461705906197e-07,7.24414081450238e-07,1.43963872873367e-06,3.25697550330688e-06,2.8355090521034e-08,1.03991379510363e-07,1.5600423678913e-07,2.37209649363207e-07,3.65481846635949e-07
8.5,2.27137179379277e-07,4.48963206275439e-07,8.81239404779271e-07,1.67890606691747e-06,3.62878746711575e-06,1.98768775916745e-07,3.44921194742738e-07,7.25149922831777e-07,1.44154965462661e-06,3.26304719004898e-06,2.83684034625322e-08,1.040420115327e-07,1.56089481947494e-07,2.37356412290861e-07,3.65740277066776e-07
8.51,2.27296583052195e-07,4.49318413831931e-07,8.82061733056105e-07,1.68096786512517e-06,3.63513555075086e-06,1.989146565919e-07,3.45225733173682e-07,7.25886935785471e-07,1.44346455297532e-06,3.26913656726257e-06,2.83819264602958e-08,1.04092680658249e-07,1.56174797270633e-07,2.37503312149852e-07,3.65998983488292e-07
8.52,2.27455992566744e-07,4.49674061989547e-07,8.8288530568327e-07,1.68303378410218e-06,3.64150167105108e-06,1.99060697911897e-07,3.45530675066162e-07,7.26625122847392e-07,1.44538343499074e-06,3.27524370475488e-06,2.83952946548468e-08,1.04143386923385e-07,1.56260182835877e-07,2.3765034911144e-07,3.66257966296205e-07
8.53,2.27615771499865e-07,4.50030151497639e-07,8.83710125281192e-07,1.68510383527079e-06,3.64788589856644e-06,1.9920690011268e-07,3.45836021133108e-07,7.27364486560529e-07,1.44730631192364e-06,3.2813686726795e-06,2.84088713871847e-08,1.04194130364531e-07,1.56345638720663e-07,2.37797523347154e-07,3.66517225886937e-07
8.54,2.27775595145644e-07,4.50386683107178e-07,8.8453619447735e-07,1.68717803009362e-06,3.6542883041961e-06,1.99353263430621e-07,3.46141772089027e-07,7.28105029474813e-07,1.44923319506482e-06,3.28751154153848e-06,2.8422331715023e-08,1.04244911018151e-07,1.56431165002536e-07,2.37944835028793e-07,3.66776762657625e-07
8.55,2.2793554020429e-07,4.50743657570762e-07,8.85363515906293e-07,1.68925638007369e-06,3.66070895919048e-06,1.99499788102528e-07,3.46447928650005e-07,7.28846754147146e-07,1.45116409574527e-06,3.29367238218436e-06,2.84357521017623e-08,1.04295728920758e-07,1.56516761759148e-07,2.38092284328427e-07,3.67036577006125e-07
8.56,2.28096010788885e-07,4.51101075642615e-07,8.86192092209668e-07,1.69133889675469e-06,3.66714793515332e-06,1.99646474365645e-07,3.4675449153371e-07,7.29589663141412e-07,1.4530990253363e-06,3.29985126582231e-06,2.84495364232399e-08,1.04346584108905e-07,1.56602429068257e-07,2.38239871418394e-07,3.67296669331011e-07
8.57,2.28256425256454e-07,4.51458938078595e-07,8.87021926036241e-07,1.69342559172109e-06,3.6736053040438e-06,1.99793322457651e-07,3.470614614594e-07,7.30333759028511e-07,1.45503799524979e-06,3.30604826401223e-06,2.84631027988029e-08,1.04397476619195e-07,1.5668816700773e-07,2.38387596471306e-07,3.67557040031577e-07
8.58,2.28417346193092e-07,4.51817245636197e-07,8.87853020041919e-07,1.69551647659834e-06,3.6800811381787e-06,1.99940332616663e-07,3.47368839147924e-07,7.31079044386376e-07,1.45698101693829e-06,3.31226344867087e-06,2.84770135764287e-08,1.04448406488273e-07,1.56773975655544e-07,2.38535459660045e-07,3.67817689507836e-07
8.59,2.28578319537915e-07,4.52175999074557e-07,8.88685376889777e-07,1.69761156305302e-06,3.6865755102345e-06,2.00087505081237e-07,3.47676625321727e-07,7.31825521799997e-07,1.45892810189525e-06,3.31849689207397e-06,2.84908144566782e-08,1.0449937375283e-07,1.5685985508978e-07,2.38683461157767e-07,3.68078618160531e-07
8.6,2.28739052191724e-07,4.52535199154457e-07,8.89518999250079e-07,1.69971086279307e-06,3.69308849324954e-06,2.00234840090364e-07,3.47984820704855e-07,7.32573193861449e-07,1.46087926165517e-06,3.32474866685842e-06,2.85042121013596e-08,1.04550378449602e-07,1.5694580538863e-07,2.388316011379e-07,3.68339826391124e-07
8.61,2.2890097761053e-07,4.52894846638329e-07,8.90353889800299e-07,1.70181438756791e-06,3.69962016062623e-06,2.0038233788348e-07,3.48293426022958e-07,7.33322063169906e-07,1.46283450779377e-06,3.33101884602443e-06,2.85186397270495e-08,1.04601420615371e-07,1.57031826630394e-07,2.38979879774144e-07,3.68601314601806e-07
8.62,2.29062459585861e-07,4.5325494229026e-07,8.91190051225152e-07,1.70392214916865e-06,3.7061705861332e-06,2.0052999870046e-07,3.48602442003298e-07,7.34072132331672e-07,1.46479385192817e-06,3.33730750293771e-06,2.85324608854019e-08,1.04652500286962e-07,1.57117918893479e-07,2.39128297240475e-07,3.68863083195497e-07
8.63,2.29224799554124e-07,4.53615486875995e-07,8.9202748621661e-07,1.70603415942825e-06,3.71273984390752e-06,2.00677822781619e-07,3.48911869374745e-07,7.34823403960207e-07,1.4667573057171e-06,3.34361471133168e-06,2.85469767725053e-08,1.04703617501249e-07,1.57204082256404e-07,2.39276853711141e-07,3.69125132575845e-07
